agency,department,name,title,room_number,street_address,city,state,zip_code,telephone,fax,email_address,website,online_request_form,notes
Administrative Conference of the United States,Administrative Conference of the United States,Shawne McGibbon,FOIA Officer,Suite 706 South,"1120 20th Street, NW",Washington,DC,20036,(202) 480-2080,(202) 386-7190,smcgibbon@acus.gov,http://www.acus.gov/foia/,https://www.acus.gov/foia/request,
Administrative Conference of the United States,Administrative Conference of the United States,,FOIA Requester Service Center,,,,,,(202) 480-2080,,,,,
Administrative Conference of the United States,Administrative Conference of the United States,David Pritzker,FOIA Public Liaison,,,,,,(202) 480-2080,,mailto:dpritzker@acus.gov,,,
U.S. Agency for International Development,U.S. Agency for International Development,Alecia S. Sillah,"Team Lead, Government Information Specialist (FOIA), Bureau for Management, Office of Management Services, Information and Records Division",Room 2.7C RRB,"1300 Pennsylvania Avenue, N.W.",Washington,D.C.,20523-2701,(202) 712-0960,,mailto:FOIA@usaid.gov,http://www.usaid.gov/foia-requests,,
U.S. Agency for International Development,U.S. Agency for International Development,,FOIA Requester Service Center,,,,,,(202) 712-0960,,,,,
U.S. Agency for International Development,U.S. Agency for International Development,Lynn P. Winston,FOIA Public Liaison,,,,,,(202) 712-0960,,,,,
American Battle Monuments Commission,American Battle Monuments Commission,Martha R. Sell,FOIA Assistant,Suite 500,2300 Clarendon Boulevard,Arlington,VA,22201,(703) 696-6897,,,http://www.abmc.gov/foia,,
American Battle Monuments Commission,American Battle Monuments Commission,,FOIA Requester Service Center,,,,,,(703) 696-6897,,,,,
American Battle Monuments Commission,American Battle Monuments Commission,Timothy Nosal,FOIA Public Liaison,,,,,,(703) 696-6789,,,,,
AMTRAK (National Railroad Passenger Corporation),AMTRAK,Sharron H. Hawkins,Lead FOIA Specialist,,"60 Massachusetts Avenue, NE",Washington,DC,20002,(202) 906-3741,(202) 906-2004,mailto:foiarequests@amtrak.com,http://www.amtrak.com/servlet/ContentServer/Page/1241267362261/1241267362261,,
AMTRAK (National Railroad Passenger Corporation),AMTRAK,,FOIA Requester Service Center,,,,,,(202) 906-3740,,,,,
AMTRAK (National Railroad Passenger Corporation),AMTRAK,Sharron H. Hawkins,FOIA Public Liaison,,,,,,(202) 906-3740,,,,,
Armed Forces Retirement Home,Armed Forces Retirement Home,Pebbles P. Young,FOIA Officer,Box 580,"3700 North Capitol Street NW
P.O. Box 2875",Washington,DC,20011,(202) 541-7554,(202) 541-7508,mailto:Pebbles.Young@AFRH.Gov,https://www.afrh.gov/afrh/foia.htm,,
Armed Forces Retirement Home,Armed Forces Retirement Home,Pebbles P. Young,FOIA Requester Service Center,,,,,,(202) 541-7554,,,,,
Armed Forces Retirement Home,Armed Forces Retirement Home,Pebbles P. Young,FOIA Public Liaison,,,,,,(202) 541-7550,,,,,
